SITE_ID,BASIN,PLOT,TAG,SPP,AZ,SDIST,HDST,DBH (CM),DBH (INCHES),HT,LCH,LIVING OR DC,HEALTH,CROWN,DAM1,DAM2,DAM3,COND,COND2,LE_ANG,WILDLIFE USE,REMARKS,,,,,
C1-3V,C1,3,56,TSHE,1,11.2,11.1,30.0,11.8,25.5,12.9,L,Y,3,460,,,FK2,,,,,,,,,
C1-3V,C1,3,57,TSHE,3,15.4,15.1,25.4,10.0,,,L,Y,3,None,,,None,,,,TGT W/ 2844 & SAPLING,,,,,
C1-3V,C1,3,58,TSHE,12,9.7,9.5,28.7,11.3,,,L,Y,3,None,,,FK2,,,,,,,,,
C1-3V,C1,3,59,TSHE,20,13.3,12.2,28.7,11.3,,,L,Y,3,None,,,None,,,,TGT W/ 2855,,,,,
C1-3V,C1,3,61,TSHE,42,18.1,15.7,33.0,13.0,24.3,14.2,L,Y,3,460,,,None,,,,,,,,,
C1-3V,C1,3,62,TSHE,48,9.2,8.0,47.5,18.7,,,L,Y,2,None,,,None,,,,,,,,,
C1-3V,C1,3,65,TSHE,64,20.7,17.4,33.8,13.3,,,L,N,3,460,200,,None,,,,"ANTS SEEN ON TREE, DBH IS SMALLER THAN PREVIOUS DBH DUE TO STEM DECAY ",,,,,
C1-3V,C1,3,70,TSHE,97,13.5,12.1,36.3,14.3,,,L,Y,3,None,,,FK2,,,,,,,,,
C1-3V,C1,3,71,TSHE,105,15.5,14.2,42.9,16.9,,,L,Y,3,None,,,None,,,,,,,,,
C1-3V,C1,3,72,TSHE,126,17.7,17.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-3V,C1,3,77,TSHE,180,16.1,14.9,31.5,12.4,21.4,12.6,L,Y,3,None,,,FK2,,,,,,,,,
C1-3V,C1,3,78,TSHE,182,11.3,10.4,40.9,16.1,,,L,Y,3,None,,,None,,,,CARPENTER ANTS SEEN ON TREE,,,,,
C1-3V,C1,3,79,TSHE,199,16.6,15.0,40.9,16.1,,,L,Y,3,460,,,None,,,,"BIG WOUND UPHILL SIDE, HEALING OVER",,,,,
C1-3V,C1,3,80,TSHE,208,19.5,17.2,43.4,17.1,,,L,Y,2,None,,,None,,,,,,,,,
C1-3V,C1,3,81,TSHE,209,9.6,8.2,40.9,16.1,,,L,Y,3,460,,,None,,,,A LOT OF SAP ON TREE,,,,,
C1-3V,C1,3,82,TSHE,227,6.9,5.7,43.4,17.1,25.8,11.3,L,Y,3,460,,,None,,,,,,,,,
C1-3V,C1,3,83,TSHE,231,17.6,14.5,46.5,18.3,,,L,Y,3,None,,,None,,,,,,,,,
C1-3V,C1,3,85,TSHE,246,8.7,7.1,35.8,14.1,,,L,Y,3,None,,,None,,,,TGT W/ SNAGLING,,,,,
C1-3V,C1,3,86,TSHE,256,18.0,15.1,34.5,13.6,,,L,Y,3,None,,,None,,,,WHITE POWDERY FLECKS (POSSIBLY FUNGUS) AT BASE OF TREE,,,,,
C1-3V,C1,3,87,TSHE,265,13.8,11.4,37.3,14.7,23.9,13.6,L,Y,3,None,,,None,,,,TGT W/ SAPLING,,,,,
C1-3V,C1,3,89,TSHE,276,17.5,14.9,33.8,13.3,,,L,Y,3,None,,,None,,,,,,,,,
C1-3V,C1,3,90,TSHE,284,17.3,15.3,30.2,11.9,,,L,Y,3,None,,,None,,,,,,,,,
C1-3V,C1,3,91,TSHE,292,13.4,12.0,40.9,16.1,,,L,Y,3,None,,,None,,,,,,,,,
