SITE_ID,BASIN,PLOT,SUBPLOT,SPP,COUNT,REMARKS
C1-3V,C1,3,EAST,,,NONE
C1-3V,C1,3,NORTH,,,NONE
C1-3V,C1,3,SOUTH,,,NONE
C1-3V,C1,3,WEST,,,NONE
C1-4V,C1,4,EAST,TSHE,4,
C1-4V,C1,4,NORTH,TSHE,2,
C1-4V,C1,4,SOUTH,,,NONE
C1-4V,C1,4,WEST,,,NONE
C1-5V,C1,5,EAST,TSHE,35,
C1-5V,C1,5,NORTH,TSHE,24,
C1-5V,C1,5,SOUTH,TSHE,7,
C1-5V,C1,5,WEST,,,NONE
C1-7VB,C1,7,EAST,TSHE,2,
C1-7VB,C1,7,NORTH,TSHE,23,
C1-7VB,C1,7,SOUTH,TSHE,2,
C1-7VB,C1,7,WEST,TSHE,57,
C1-8VB,C1,8,EAST,,,NONE
C1-8VB,C1,8,NORTH,,,NONE
C1-8VB,C1,8,SOUTH,,,NONE
C1-8VB,C1,8,WEST,,,NONE
C1-13VB,C1,13,EAST,PISI,1,
C1-13VB,C1,13,EAST,TSHE,7,
C1-13VB,C1,13,WEST,TSHE,4,
C1-13VB,C1,13,NORTH,,,NONE
C1-13VB,C1,13,SOUTH,,,NONE
C1-14VB,C1,14,EAST,TSHE,1,
C1-14VB,C1,14,NORTH,,,NONE
C1-14VB,C1,14,SOUTH,,,NONE
C1-14VB,C1,14,WEST,,,NONE
C1-17V,C1,17,EAST,,,NONE
C1-17V,C1,17,NORTH,,,NONE
C1-17V,C1,17,SOUTH,,,NONE
C1-17V,C1,17,WEST,,,NONE
C1-18V,C1,18,NORTH,ALRU2,4,
C1-18V,C1,18,WEST,ALRU2,1,
C1-18V,C1,18,EAST,TSHE,1,
C1-18V,C1,18,SOUTH,TSHE,3,
C1-20VB,C1,20,WEST,TSHE,1,
C1-20VB,C1,20,EAST,,,NONE
C1-20VB,C1,20,NORTH,,,NONE
C1-20VB,C1,20,SOUTH,,,NONE
