SITE_ID,BASIN,PLOT,LOCAT,COVER_1,COVER_2,COVER_3,COVER_4,REMARKS,average
C1-3V,C1,3,N,94,96,93,97,,95
C1-3V,C1,3,E,97,82,89,96,,91
C1-3V,C1,3,S,94,89,96,97,,94
C1-3V,C1,3,W,98,98,95,98,,97.25
C1-3V,C1,3,C,98,97,95,87,,94.25
C1-4V,C1,4,N,77,81,80,88,,81.5
C1-4V,C1,4,E,95,97,98,95,,96.25
C1-4V,C1,4,S,96,94,95,98,,95.75
C1-4V,C1,4,W,97,95,98,98,,97
C1-4V,C1,4,C,96,95,92,96,,94.75
C1-5V,C1,5,N,86,84,88,96,,88.5
C1-5V,C1,5,E,93,91,90,92,,91.5
C1-5V,C1,5,S,91,96,90,93,,92.5
C1-5V,C1,5,W,85,85,80,87,,84.25
C1-5V,C1,5,C,88,79,92,94,,88.25
C1-7VB,C1,7,N,72,78,75,80,,76.25
C1-7VB,C1,7,E,88,97,91,75,,87.75
C1-7VB,C1,7,S,82,79,94,93,,87
C1-7VB,C1,7,W,78,77,91,82,,82
C1-7VB,C1,7,C,60,78,87,73,,74.5
C1-8VB,C1,8,N,86,78,52,66,,70.5
C1-8VB,C1,8,E,45,47,33,46,,42.75
C1-8VB,C1,8,S,15,5,28,61,,27.25
C1-8VB,C1,8,W,45,59,79,45,,57
C1-8VB,C1,8,C,43,49,56,49,,49.25
C1-13VB,C1,13,N,4,11,63,40,,29.5
C1-13VB,C1,13,E,82,6,62,44,,48.5
C1-13VB,C1,13,S,3,58,35,81,,44.25
C1-13VB,C1,13,W,12,15,24,34,,21.25
C1-13VB,C1,13,C,72,20,38,56,,46.5
C1-14VB,C1,14,N,92,91,94,86,,90.75
C1-14VB,C1,14,E,92,93,93,94,,93
C1-14VB,C1,14,S,87,88,85,80,,85
C1-14VB,C1,14,W,84,81,85,88,,84.5
C1-14VB,C1,14,C,81,86,87,74,,82
C1-17V,C1,17,N,94,96,97,93,,95
C1-17V,C1,17,E,96,92,95,97,,95
C1-17V,C1,17,S,90,93,91,89,,90.75
C1-17V,C1,17,W,84,96,89,94,,90.75
C1-17V,C1,17,C,93,90,96,97,,94
C1-18V,C1,18,N,93,99,96,95,,95.75
C1-18V,C1,18,E,98,95,94,93,,95
C1-18V,C1,18,S,88,91,95,98,,93
C1-18V,C1,18,W,98,96,98,97,,97.25
C1-18V,C1,18,C,98,99,98,98,,98.25
C1-20VB,C1,20,N,100,99,100,100,,99.75
C1-20VB,C1,20,E,100,99,96,95,,97.5
C1-20VB,C1,20,S,98,95,82,86,,90.25
C1-20VB,C1,20,W,100,98,99,100,,99.25
C1-20VB,C1,20,C,99,100,100,99,,99.5
C1-24VB,C1,24,N,95,90,77,74,,84
C1-24VB,C1,24,E,96,92,92,81,,90.25
C1-24VB,C1,24,S,76,75,75,78,,76
C1-24VB,C1,24,W,88,97,99,91,,93.75
C1-24VB,C1,24,C,92,98,90,94,,93.5
C1-25VB,C1,25,N,89,94,98,95,,94
C1-25VB,C1,25,E,96,97,95,94,,95.5
C1-25VB,C1,25,S,92,90,96,95,,93.25
C1-25VB,C1,25,W,96,95,93,97,,95.25
C1-25VB,C1,25,C,95,96,97,94,,95.5
C1-26V,C1,26,N,99,96,66,72,,83.25
C1-26V,C1,26,E,96,93,94,98,,95.25
C1-26V,C1,26,S,100,90,94,98,,95.5
C1-26V,C1,26,W,99,99,97,98,,98.25
C1-26V,C1,26,C,98,96,97,99,,97.5
