Basin,Stand_ID,Stand_type,Treated?,Com Thin,PCT,Year treated,Age (2019)
N1,17432,DF-1,0,,,,28
N1,50002,DF-2,0,,,,40
N1,17435,DF-1,0,,,,32
N1,48414,DF-1,0,,,,15
N1,50048,WH/SS/RC-4,0,,,,82
N1,30039,WH/SS/RC-4,0,,,,32
N1,30038,WH/SS/RC-3,0,,,,62
N1,61000,WH/SS/RC-4,0,,,,71
N1,50001,WH/SS/RC-4,0,,,,85
N1,n/a,n/a,0,,,,n/a
N1,n/a,n/a,0,,,,n/a
N1,n/a,n/a,0,,,,n/a
N1,n/a,n/a,0,,,,51
N1,n/a,n/a,0,,,,51
N2,111027005,WH/SS/RC-3,1,1,,2009,63
N2,111027014,WH/SS/RC-4,1,1,,2009,71
N2,111022014,DF-1,1,,1,2010,21
C1,111033002,WH/SS/RC-2,0,,,2028,57
C1,111033008,WH/SS/RC-2,0,,,2031,36
C1,111033001,DF-2,0,,,2028,40
C1,111034003,WH/SS/RC-5,0,,,n/a,89
C1,111027002,WH/SS/RC-3,0,,,2011,63
C1,111034014,WH/SS/RC-1,1,,1,2031,23
C1,111028014,WH/SS/RC-3,1,1,,2012,63
C1,111027017,WH/SS/RC-3,1,1,,2010,63
C1,111027016,WH/SS/RC-3,1,1,,2012,63
C1,111028010,WH/SS/RC-3,1,1,,2011,63
C1,111028011,WH/SS/RC-3,1,1,,2010,63
C1,111027018,WH/SS/RC-3,1,1,,2012,63
C1,111028012,WH/SS/RC-3,1,1,,2011,63
C1,111027004,n/a,1,1,,2012,63
C2,111033010,DF-2,0,,,,34
C2,101004001,WH/SS/RC-2,0,,,,36
C2,111034008,DF-1,0,,,,36
C2,111033014,WH/SS/RC-2,0,,,,29
C2,111033009,WH/SS/RC-2,0,,,,34
C2,111034006,WH/SS/RC-4,0,,,,89
C2,111034004,WH/SS/RC-3,0,,,,78
C2,111033013,WH/SS/RC-2,0,,,,33
C2,111033011,DF-2,0,,,,23
C2,111034015,WH/SS/RC-1,0,,,,23
C2,111034016,WH/SS/RC-3,0,,,,69
C2,111034017,RA-3,0,,,,80
C3,101003006,WH/SS/RC-3,0,,,,149
C3,101002004,RA-3,0,,,,40
C3,101003002,WH/SS/RC-1,0,,,,20
C3,101003012,WH/SS/RC-5,0,,,,149
C3,101003001,WH/SS/RC-3,0,,,,64
C3,101002002,WH/SS/RC-2,0,,,,41
C3,101003010,WH/SS/RC-2,0,,,,41
C3,101003011,WH/SS/RC-1,0,,,,56
C3,101002001,DF-2,0,,,,37
C3,111034009,WH/SS/RC-3,0,,,,69
S1,101003003,DF-2,0,,,,47
S1,101003005,DF-2,0,,,,43
S1,101003004,WH/SS/RC-3,0,,,,48
S1,101004010,WH/SS/RC-2,0,,,,42
S1,101003014,RA-3,0,,,,0
S1,101004009,DF-2,0,,,,43
S2,101010004,WH/SS/RC-3,0,,,,53
S2,101010003,WH/SS/RC-2,0,,,,33
S2,101010001,RA-3,0,,,,39
S2,101003013,WH/SS/RC-3,0,,,,39
S2,101004011,DF-2,0,,,,43
S3,101010008,WH/SS/RC-2,1,1,,2020,51
S3,101010006,DF-2,1,1,,2018,53
S3,101010005,WH/SS/RC-3,1,1,,2017,53
S3,101011002,WH/SS/RC-2,1,1,,2022,41
S3,101011003,DF-2,1,1,,2021,47
S3,101011004,DF-2,1,1,,0,8
S3,101011001,DF-2,1,1,,2021,46
