plot,treatment,age
C1-10VB,THIN,63
C1-13VB,THIN,63
C1-14VB,THIN,63
C1-15VB,THIN,63
C1-16V,THIN,63
C1-17V,THIN,63
C1-18V,THIN,23
C1-19VB,THIN,63
C1-1VB,THIN,63
C1-20VB,THIN,23
C1-22V,THIN,63
C1-23V,THIN,63
C1-24VB,THIN,63
C1-25VB,THIN,36
C1-26V,THIN,23
C1-28VB,THIN,57
C1-3V,THIN,36
C1-4V,THIN,36
C1-5V,THIN,63
C1-6V,THIN,63
C1-7VB,THIN,63
C1-8VB,THIN,63
C1-9VB,THIN,63
C2-10V,CON,29
C2-11VB,CON,34
C2-12VB,CON,78
C2-13V,CON,69
C2-14VB,CON,33
C2-15VB,CON,69
C2-17VB,CON,33
C2-18VB,CON,36
C2-19V,CON,34
C2-1VB,CON,36
C2-20VB,CON,34
C2-21V,CON,29
C2-22V,CON,36
C2-23VB,CON,36
C2-25VB,CON,36
C2-26V,CON,69
C2-27V,CON,34
C2-28V,CON,29
C2-4V,CON,36
C2-5VB,CON,34
C2-8VB,CON,36
C2-9V,CON,23
N1-10VB,CON,15
N1-11VB,CON,85
N1-12VB,CON,71
N1-13V,CON,85
N1-14VB,CON,28
N1-15VB,CON,40
N1-16V,CON,71
N1-17VB,CON,15
N1-18VB,CON,82
N1-19V,CON,85
N1-1VB,CON,32
N1-20V,CON,28
N1-21VB,CON,82
N1-22V,CON,40
N1-24VB,CON,28
N1-25VB,CON,71
N1-26V,CON,71
N1-27V,CON,85
N1-2V,CON,28
N1-3V,CON,15
N1-4VB,CON,40
N1-5V,CON,28
N1-6V,CON,28
N1-7VB,CON,85
N1-8VB,CON,71
N2-10VB,THIN,21
N2-11V,THIN,71
N2-12V,THIN,71
N2-13VB,THIN,71
N2-14V,THIN,21
N2-15VB,THIN,71
N2-16VB,THIN,71
N2-17VB,THIN,21
N2-18VB,THIN,71
N2-19V,THIN,71
N2-1VB,THIN,71
N2-20V,THIN,21
N2-21V,THIN,21
N2-22VB,THIN,21
N2-23V,THIN,71
N2-24VB,THIN,21
N2-26VB,THIN,71
N2-27V,THIN,21
N2-28V,THIN,71
N2-2VB,THIN,21
N2-3V,THIN,21
N2-4VB,THIN,71
N2-5V,THIN,21
N2-6V,THIN,21
N2-7VB,THIN,71
