SITE_ID,BASIN,PLOT,TAG,SPP,AZ,SDIST,HDST,DBH,DBH (INCHES),HT,PRESENCE,DECAY CLASS,HEALTH,WILDLIFE USE,REMARKS
C1-3V,C1,3,64,TSHE,57,4.2,3.5,19.1,7.5,3.1,1,3,N,1,
C1-3V,C1,3,69,TSHE,97,7.8,7,43.4,17.1,13.9,1,3,N,1,
C1-3V,C1,3,73,TSHE,136,12.9,12.7,33.8,13.3,9.6,1,2,N,1,
C1-3V,C1,3,74,TSHE,155,5,5,22.9,9,8.8,1,1,N,0,
C1-3V,C1,3,75,TSHE,163,16.5,16.2,37.8,14.9,6.6,1,1,N,0,
C1-3V,C1,3,97,TSHE,329,9.2,9,23.1,9.1,3.1,1,2,N,1,
C1-5V,C1,5,867,PISI,120,3.8,3.8,47.5,18.7,2.2,1,3,N,2,
C1-5V,C1,5,884,TSHE,215,16.1,16.1,45,17.7,8.8,1,1,N,0,
C1-5V,C1,5,908,TSHE,333,3.9,3.3,27.7,10.9,4.8,1,2,N,1,
C1-5V,C1,5,914,TSHE,351,10.5,9.5,22.1,8.7,3.3,1,2,N,0,TGT w/ 913
C1-7VB,C1,7,266,TSHE,19,17.3,16.1,20.8,8.2,4,1,1,N,0,
C1-7VB,C1,7,269,TSHE,24,13.9,12.8,26.2,10.3,9.1,1,1,N,0,
C1-7VB,C1,7,282,TSHE,109,17.7,17.3,38.4,15.1,6,1,1,N,0,
C1-7VB,C1,7,285,TSHE,111,15.2,14.9,19.1,7.5,1.9,1,1,N,1,
C1-7VB,C1,7,293,TSHE,153,17,16.9,36.1,14.2,1.5,1,1,N,0,Harvested above BH
C1-7VB,C1,7,305,TSHE,241,10.7,10.4,45,17.7,12,1,2,N,2,Big mushrooms
C1-8VB,C1,8,1367,TSHE,12,8.8,8.1,27.4,10.8,2.9,1,1,N,0,
C1-8VB,C1,8,1368,THPL,26,6.7,6.5,203.2,80,8.5,1,3,N,1,
C1-8VB,C1,8,1372,TSHE,40,13.6,12.3,38.4,15.1,9.4,1,1,N,1,
C1-8VB,C1,8,1388,TSHE,140,6.1,6,27.4,10.8,,1,1,N,1,
C1-8VB,C1,8,1404,THPL,210,8.5,8.1,28.7,11.3,2.7,1,2,N,0,
C1-8VB,C1,8,1411,TSHE,248,16.7,16,21.1,8.3,4.7,1,3,N,2,
C1-8VB,C1,8,1420,THPL,300,12.6,12.4,154.4,60.8,3.5,1,4,N,2,MISSING PART OF TRUNK
C1-8VB,C1,8,1422,TSHE,304,17.2,17,48.3,19,7,1,2,N,2,
C1-14VB,C1,14,240,THPL,241,3.9,3.3,23.6,9.3,14.8,1,2,N,2,
C1-14VB,C1,14,2792,THPL,285,12.1,11.1,45.2,17.8,13,1,1,N,0,FORMERLY TAG # 248
C1-17V,C1,17,690,TSHE,62,18.1,16.3,19.3,7.6,4.1,1,2,N,1,
C1-17V,C1,17,724,THPL,252,3.2,2.7,72.6,28.6,3.8,1,4,N,1,Very irregular shape; DBH may not be reflective of actual size
