stand,subplot,species,seedct,date.collected,notes,treat,age,slope,aspect,elev,UTM_E,UTM_N,ct2007,ct2020,ctdiff
C2-20,W,THSE,4,5/11/2022,,CON,34,80,222,175,429959,5138132,1,0,-1
C1-13,W,THPL,5,5/11/2022,,THIN,63,68,20,191,430046,5139550,0,1,1
C2-20,N,TSHE,5,5/11/2022,,CON,34,80,222,175,429959,5138132,0,0,0
N2-5,N,TSHE,7,? not on bag,likely 5/2022,THIN,21,60,200,82,431160,5140807,0,0,0
N2-5,W,THSE,9,? not on bag,,THIN,21,60,200,82,431160,5140807,1,0,-1
N1-17,W,TSHE,11,5/11/2022,,CON,15,78,125,138,430235,5141285,4,0,-4
C2-20,S,TSHE,12,5/11/2022,,CON,34,80,222,175,429959,5138132,0,0,0
C2-17,E,ALRU,13,5/11/2022,,CON,33,94,323,282,429153,5137595,0,0,0
C2-20,E,TSHE,13,5/11/2022,,CON,34,80,222,175,429959,5138132,6,0,-6
N2-5,S,TSHE,16,? not on bag,likely 5/2022,THIN,21,60,200,82,431160,5140807,4,1,-3
C2-17,S,TSHE,17,5/11/2022,,CON,33,94,323,282,429153,5137595,0,0,0
C2-17,W,THPL,19,5/11/2022,,CON,33,94,323,282,429153,5137595,0,0,0
C1-13,N,TSHE,26,5/11/2022,,THIN,63,68,20,191,430046,5139550,0,4,4
C1-13,E,TSHE,26,5/11/2022,,THIN,63,68,20,191,430046,5139550,0,5,5
N2-5,E,ALRU,28,? not on bag,likely 5/2022,THIN,21,60,200,82,431160,5140807,3,0,-3
C1-18,S,THPL,35,5/11/2022,,THIN,23,65,311,214,430110,5138573,8,2,-6
C1-13,S,TSHE,39,5/11/2022,,THIN,63,68,20,191,430046,5139550,0,3,3
N2-5,W,TSHE,40,? not on bag,likely 5/2022,THIN,21,60,200,82,431160,5140807,1,0,-1
N2-5,S,TSHE,41,? not on bag,likely 5/2022,THIN,21,60,200,82,431160,5140807,4,1,-3
N1-17,N,ALRU,44,5/11/2022,,CON,15,78,125,138,430235,5141285,24,0,-24
N2-13,S,TSHE,66,5/11/2022,,THIN,71,26,352,134,431192,5140238,0,25,25
N2-13,E,TSHE,68,5/11/2022,,THIN,71,26,352,134,431192,5140238,1,3,2
C1-17,E,TSHE,79,5/11/2022,,THIN,63,60,104,138,430416,5139590,0,0,0
N1-17,E,ALRU,86,5/11/2022,,CON,15,78,125,138,430235,5141285,2,0,-2
C1-17,W,TSHE,97,5/11/2022,,THIN,63,60,104,138,430416,5139590,0,0,0
C1-17,S,TSHE,97,5/11/2022,,THIN,63,60,104,138,430416,5139590,0,1,1
C1-18,W,PISI,112,5/11/2022,,THIN,23,65,311,214,430110,5138573,0,0,0
C2-15,N,THPL,132,5/11/2022,,CON,69,82,314,136,430568,5137706,0,1,1
N2-13,W,TSHE,144,5/11/2022,,THIN,71,26,352,134,431192,5140238,1,18,17
C2-15,S,TSHE,151,5/11/2022,,CON,69,82,314,136,430568,5137706,0,0,0
C2-15,E,TSHE,159,5/11/2022,,CON,69,82,314,136,430568,5137706,0,7,7
N1-19,N,TSHE,192,5/10/2022,,CON,85,86,294,60,430765,5141311,0,0,0
N2-18,N,TSHE,194,5/10/2022,,THIN,71,45,44,136,430636,5140169,0,23,23
N1-18,S,TSHE,203,5/10/2022,,CON,82,44,106,125,430282,5140654,0,0,0
N2-18,E,TSHE,204,5/10/2022,,THIN,71,45,44,136,430636,5140169,0,27,27
C1-17,N,TSHE,217,5/11/2022,,THIN,63,60,104,138,430416,5139590,0,0,0
N2-18,W,TSHE,247,5/10/2022,,THIN,71,45,44,136,430636,5140169,1,210,209
N1-19,E,TSHE,249,5/10/2022,,CON,85,86,294,60,430765,5141311,4,1,-3
C1-18,N,THPL,261,5/11/2022,,THIN,23,65,311,214,430110,5138573,2,0,-2
N1-19,W,TSHE,268,5/10/2022,,CON,85,86,294,60,430765,5141311,3,1,-2
N1-19,S,TSHE,323,5/10/2022,,CON,85,86,294,60,430765,5141311,3,1,-2
C2-15,W,TSHE,344,5/11/2022,,CON,69,82,314,136,430568,5137706,0,1,1
N1-13,N,TSHE,396,5/11/2022,,CON,85,80,335,74,430837,5141437,1,0,-1
C1-18,E,ALRU,924,5/11/2022,,THIN,23,65,311,214,430110,5138573,6,1,-5
